Названия строк;s_1;s_2_corr
6971;1;no_data
6972;1;no_data
6974;1;no_data
6975;1;no_data
6976;1;no_data
6977;1;no_data
6978;1;no_data
6979;1;no_data
6980;1;no_data
6981;1;no_data
6982;1;no_data
6983;1;no_data
6984;1;no_data
6985;1;no_data
6986;1;no_data
6987;1;no_data
6988;1;no_data
6989;1;no_data
6991;1;no_data
6992;1;no_data
6993;1;no_data
6994;1;no_data
6995;1;no_data
6996;1;no_data
6997;1;no_data
6998;1;no_data
6999;1;no_data
7000;1;no_data
7006;1;no_data
7007;1;no_data
7008;1;no_data
7009;1;no_data
7010;1;no_data
7011;1;no_data
7012;1;no_data
7013;1;no_data
7014;1;no_data
7015;1;no_data
7016;1;no_data
7017;1;no_data
7018;1;no_data
7019;1;no_data
7020;1;no_data
7021;1;no_data
7022;1;no_data
7023;1;no_data
7024;1;no_data
7025;1;no_data
7026;1;no_data
7027;1;no_data
7028;1;no_data
7029;1;no_data
7030;0;no_data
7031;1;no_data
7032;1;no_data
7033;1;no_data
7034;1;no_data
7035;1;no_data
7036;1;no_data
7037;1;no_data
7038;1;no_data
7039;1;no_data
7040;1;no_data
7041;1;no_data
7042;1;no_data
7043;0;no_data
7044;1;no_data
7045;1;no_data
7046;1;no_data
7047;1;no_data
7048;1;no_data
7049;1;no_data
7050;0;no_data
7051;1;no_data
7052;0;no_data
7053;1;no_data
7054;1;no_data
7055;1;no_data
7056;1;no_data
7057;1;no_data
7058;1;no_data
7059;1;no_data
7060;1;no_data
7061;1;no_data
7062;1;no_data
7085;1;no_data
7087;1;no_data
7088;1;no_data
7089;1;no_data
7090;1;no_data
7091;1;no_data
7092;1;no_data
7093;1;no_data
7094;1;no_data
7095;1;no_data
7096;1;no_data
7097;1;no_data
7246;1;no_data
7247;1;no_data
7248;1;no_data
7249;1;no_data
7250;1;no_data
7400;1;no_data
7401;1;no_data
7402;1;no_data
7403;1;no_data
7404;1;no_data
7405;1;no_data
7406;1;no_data
7407;1;no_data
7408;1;no_data
7409;1;no_data
7410;1;no_data
7411;1;no_data
7412;1;no_data
7414;1;no_data
7416;1;no_data
7420;1;no_data
7553;1;no_data
7556;1;no_data
7557;1;no_data
7560;1;no_data
7562;1;no_data
7565;1;no_data
7570;1;no_data
7572;1;no_data
7576;1;no_data
7578;1;no_data
7583;1;no_data
7590;1;no_data
7593;1;no_data
7598;1;no_data
7601;1;no_data
7606;1;no_data
7608;1;no_data
7610;0;no_data
7614;1;no_data
7615;1;no_data
7620;1;no_data
7623;1;no_data
7626;1;no_data
7628;1;no_data
7631;1;no_data
7636;1;no_data
7660;1;no_data
7669;1;no_data
7670;1;no_data
7671;1;no_data
7672;1;no_data
7673;1;no_data
7674;1;no_data
7707;1;no_data
7708;1;no_data
7709;1;no_data
7710;1;no_data
7711;1;no_data
7712;1;no_data
7713;1;no_data
7714;1;no_data
7715;1;no_data
7716;1;no_data
7717;1;no_data
7718;1;no_data
7719;1;no_data
7720;1;no_data
7721;1;no_data
7722;1;no_data
7723;1;no_data
7724;1;no_data
7741;1;no_data
7743;1;no_data
7744;1;no_data
7746;1;no_data
7748;1;no_data
7749;1;no_data
7751;1;no_data
7753;1;no_data
7754;1;no_data
7755;1;no_data
7756;0;no_data
7758;1;no_data
7759;1;no_data
7760;1;no_data
7761;1;no_data
7762;1;no_data
7763;1;no_data
7764;1;no_data
7765;1;no_data
7778;1;no_data
7784;1;no_data
7786;1;no_data
7787;1;no_data
7788;1;no_data
7789;1;no_data
7790;1;no_data
7791;1;no_data
7792;1;no_data
7793;1;no_data
7794;1;no_data
7795;1;no_data
7796;1;no_data
7797;1;no_data
7798;1;no_data
7799;0;no_data
7807;1;no_data
7820;1;no_data
7821;1;no_data
7822;1;no_data
7823;1;no_data
7824;1;no_data
7825;1;no_data
7826;1;no_data
7827;1;no_data
7828;1;no_data
7829;1;no_data
7830;1;no_data
7831;1;no_data
7832;1;no_data
7833;1;no_data
7834;1;no_data
7835;1;no_data
7836;1;no_data
7837;1;no_data
7838;1;no_data
7839;1;no_data
7840;1;no_data
7841;1;no_data
7842;1;no_data
7843;1;no_data
7844;1;no_data
7845;1;no_data
7846;1;no_data
7847;1;no_data
7848;1;no_data
7849;1;no_data
7850;1;no_data
7851;1;no_data
7852;1;no_data
7853;0;no_data
7854;1;no_data
7855;1;no_data
7856;1;no_data
7857;1;no_data
7858;1;no_data
7859;1;no_data
7860;1;no_data
7861;1;no_data
7862;1;no_data
7863;1;no_data
7864;1;no_data
7865;1;no_data
7866;1;no_data
7867;1;no_data
7868;1;no_data
7869;1;no_data
7870;1;no_data
7871;1;no_data
7872;1;no_data
7873;1;no_data
7874;1;no_data
7875;1;no_data
7876;1;no_data
7877;1;no_data
7878;1;no_data
7879;1;no_data
7880;1;no_data
7881;1;no_data
7882;1;no_data
7883;1;no_data
7884;1;no_data
7885;1;no_data
7886;1;no_data
7887;1;no_data
7888;1;no_data
7889;1;no_data
7890;1;no_data
7891;1;no_data
7892;1;no_data
7893;1;no_data
7894;1;no_data
7895;1;no_data
7896;1;no_data
7897;1;no_data
7898;1;no_data
7899;1;no_data
7900;1;no_data
7901;0;no_data
7902;1;no_data
7903;1;no_data
7904;1;no_data
7905;1;no_data
7906;1;no_data
7907;1;no_data
7908;1;no_data
7909;1;no_data
7910;1;no_data
7911;1;no_data
7912;1;no_data
7913;1;no_data
7914;1;no_data
7915;1;no_data
7916;1;no_data
7917;1;no_data
7918;1;no_data
7919;1;no_data
7920;1;no_data
7921;1;no_data
7922;1;no_data
7923;1;no_data
7924;1;no_data
7925;1;no_data
7926;1;no_data
7927;1;no_data
7928;1;no_data
7929;1;no_data
7930;1;no_data
7931;0;no_data
7932;1;no_data
7933;1;no_data
7934;1;no_data
7935;1;no_data
7936;1;no_data
7937;1;no_data
7938;1;no_data
7939;1;no_data
7940;1;no_data
7941;1;no_data
7942;0;no_data
7943;0;no_data
7944;1;no_data
7945;0;no_data
7946;1;no_data
7947;1;no_data
7948;1;no_data
7949;1;no_data
7950;1;no_data
7951;1;no_data
7952;1;no_data
7953;0;no_data
7954;1;no_data
7955;1;no_data
